"time","ticker","bid","ask","last","open","close"
2015-09-15 09:30:04,"AAPL","115.74","115.80","115.74","115.93","115.31"
2015-09-15 15:59:05,"AAPL","116.21","116.22","116.216","115.93","115.31"
2015-09-15 16:03:05,"AAPL","116.31","116.42","116.28","115.93","115.31"
2015-09-16 08:01:05,"AAPL","116.35","116.43","116.28",NA,"116.28"
2015-09-16 09:30:04,"AAPL","116.16","116.20","116.17","116.25","116.28"
2015-09-16 15:59:05,"AAPL","116.35","116.36","116.35","116.25","116.28"
2015-09-16 16:03:05,"AAPL","116.29","116.30","116.35","116.25","116.28"
2015-09-17 08:01:06,"AAPL","115.62","115.66","116.41",NA,"116.41"
2015-09-17 09:30:05,"AAPL","115.73","115.74","115.73","115.66","116.41"
2015-09-17 15:59:06,"AAPL","113.89","113.90","113.90","115.66","116.41"
2015-09-17 16:03:04,"AAPL","114.02","114.06","113.92","115.66","116.41"
2015-09-18 08:01:05,"AAPL","112.95","113.00","113.92",NA,"113.92"
2015-09-18 09:30:07,"AAPL","111.92","111.95","111.9499","112.21","113.92"
2015-09-18 15:59:04,"AAPL","113.37","113.38","113.385","112.21","113.92"
2015-09-18 16:03:05,"AAPL","113.29","113.30","113.45","112.21","113.92"
2015-09-21 08:01:05,"AAPL","114.20","114.26","113.45",NA,"113.45"
2015-09-21 09:30:05,"AAPL","113.73","113.75","113.72","113.67","113.45"
2015-09-21 15:59:05,"AAPL","115.16","115.17","115.165","113.67","113.45"
2015-09-21 16:03:04,"AAPL","115.22","115.37","115.21","113.67","113.45"
2015-09-22 08:01:05,"AAPL","114.03","114.09","115.21",NA,"115.21"
2015-09-22 09:30:04,"AAPL","113.39","113.57","113.47","113.38","115.21"
2015-09-22 15:59:04,"AAPL","113.44","113.45","113.45","113.38","115.21"
2015-09-22 16:03:05,"AAPL","113.48","113.51","113.432","113.38","115.21"
2015-09-23 09:30:05,"AAPL","113.63","113.65","113.642","113.63","113.40"
2015-09-23 15:59:09,"AAPL","114.46","114.47","114.46","113.63","113.40"
